time,waterlevel,CTRF
2016/6/8 00:00,1.17,0
2016/6/8 01:00,1.17,0
2016/6/8 02:00,1.17,0
2016/6/8 03:00,1.17,0
2016/6/8 04:00,1.17,0
2016/6/8 05:00,1.17,0
2016/6/8 06:00,1.17,-998
2016/6/8 07:00,1.17,-998
2016/6/8 08:00,1.17,0.5
2016/6/8 09:00,1.17,0
2016/6/8 10:00,1.17,0
2016/6/8 11:00,1.17,0
2016/6/8 12:00,1.17,0
2016/6/8 13:00,1.17,0
2016/6/8 14:00,1.17,-998
2016/6/8 15:00,1.17,-998
2016/6/8 16:00,1.17,-998
2016/6/8 17:00,1.17,-998
2016/6/8 18:00,1.17,-998
2016/6/8 19:00,1.17,-998
2016/6/8 20:00,1.17,-998
2016/6/8 21:00,1.17,-998
2016/6/8 22:00,1.17,-998
2016/6/8 23:00,1.17,-998
2016/6/9 00:00,1.17,-998
2016/6/9 01:00,1.17,-998
2016/6/9 02:00,1.17,-998
2016/6/9 03:00,1.17,-998
2016/6/9 04:00,1.17,-998
2016/6/9 05:00,1.17,-998
2016/6/9 06:00,1.17,7.5
2016/6/9 07:00,1.17,4.5
2016/6/9 08:00,1.17,2
2016/6/9 09:00,1.18,0.5
2016/6/9 10:00,1.19,0
2016/6/9 11:00,1.19,0
2016/6/9 12:00,1.19,0
2016/6/9 13:00,1.19,0
2016/6/9 14:00,1.19,0
2016/6/9 15:00,1.19,-998
2016/6/9 16:00,1.19,-998
2016/6/9 17:00,1.2,-998
2016/6/9 18:00,1.2,-998
2016/6/9 19:00,1.2,-998
2016/6/9 20:00,1.2,-998
2016/6/9 21:00,1.2,-998
2016/6/9 22:00,1.2,-998
2016/6/9 23:00,1.19,-998
2016/6/10 00:00,1.19,-998
2016/6/10 01:00,1.19,-998
2016/6/10 02:00,1.19,0.5
2016/6/10 03:00,1.19,0.5
2016/6/10 04:00,1.19,1
2016/6/10 05:00,1.19,5
2016/6/10 06:00,1.19,3
2016/6/10 07:00,1.2,0.5
2016/6/10 08:00,1.2,1
2016/6/10 09:00,1.2,2
2016/6/10 10:00,1.2,0.5
2016/6/10 11:00,1.19,0.5
2016/6/10 12:00,1.2,6.5
2016/6/10 13:00,1.2,5
2016/6/10 14:00,1.28,1.5
2016/6/10 15:00,1.39,0.5
2016/6/10 16:00,1.41,0
2016/6/10 17:00,1.41,0
2016/6/10 18:00,1.41,0
2016/6/10 19:00,1.41,0
2016/6/10 20:00,1.41,5
2016/6/10 21:00,1.41,13
2016/6/10 22:00,1.44,11.5
2016/6/10 23:00,1.63,4.5
2016/6/11 00:00,2.01,8.5
2016/6/11 01:00,2.52,27.5
2016/6/11 02:00,3.36,11.5
2016/6/11 03:00,3.68,3.5
2016/6/11 04:00,3.69,3
2016/6/11 05:00,3.68,3
2016/6/11 06:00,3.47,2.5
2016/6/11 07:00,3.25,2.5
